type,saw_policy,population_size,random_k,alpha,beta,rho,p,local_information,min_max_ant_system,termination_criterion,iteration,instance,starting-time,fitness
algorithm,Constant-Weights(Gamma-1:3;Gamma-2:3;Gamma-3:3),50,5,1,1,0.24,0.5,objective_value,True,200,26,rand_test_2,20230104:08:15:41,[3147502974.8250003;3147502974.8250003;3147502974.8250003;3147502974.8250003;3147502974.8250003;3147502974.8250003;3147502974.8250003;3147502974.8250003;3147502974.8250003;3147502974.8250003]
algorithm,Constant-Weights(Gamma-1:3;Gamma-2:3;Gamma-3:3),50,5,1,1,0.24,0.25,objective_value,True,200,26,rand_test_2,20230104:08:23:40,[3147503695.3875003;3147503695.3875003;3147503695.3875003;3147503695.3875003;3147503695.3875003;3147503695.3875003;3147503695.3875003;3147503695.3875003;3147503695.3875003;3147503695.3875003]
algorithm,Constant-Weights(Gamma-1:3;Gamma-2:3;Gamma-3:3),100,5,1,1,0.24,0.5,objective_value,True,200,26,rand_test_2,20230104:08:37:55,[3147503958.05;3147503958.05;3147503958.05;3147503958.05;3147503958.05;3147503958.05;3147503958.05;3147503958.05;3147503958.05;3147503958.05]
algorithm,Constant-Weights(Gamma-1:3;Gamma-2:3;Gamma-3:3),100,5,1,1,0.24,0.25,objective_value,True,200,26,rand_test_2,20230104:08:52:48,[3147504578.5875;3147504578.5875;3147504578.5875;3147504578.5875;3147504578.5875;3147504578.5875;3147504578.5875;3147504578.5875;3147504578.5875;3147504578.5875]
algorithm,Constant-Weights(Gamma-1:3;Gamma-2:3;Gamma-3:3),50,5,1,1,0.24,0.5,objective_value,True,200,27,rand_test_8,20230104:09:00:11,[642681788.2187499;642681788.2187499;642681788.2187499;642681788.2187499;642681788.2187499;642681788.2187499;642681788.2187499;642681788.2187499;642681788.2187499;642681788.2187499]
algorithm,Constant-Weights(Gamma-1:3;Gamma-2:3;Gamma-3:3),50,5,1,1,0.24,0.25,objective_value,True,200,27,rand_test_8,20230104:09:07:47,[642682112.1999999;642682112.1999999;642682112.1999999;642682112.1999999;642682112.1999999;642682112.1999999;642682112.1999999;642682112.1999999;642682112.1999999;642682112.1999999]
algorithm,Constant-Weights(Gamma-1:3;Gamma-2:3;Gamma-3:3),100,5,1,1,0.24,0.5,objective_value,True,200,27,rand_test_8,20230104:09:22:44,[642682056.0562499;642682056.0562499;642682056.0562499;642682056.0562499;642682056.0562499;642682056.0562499;642682056.0562499;642682056.0562499;642682056.0562499;642682056.0562499]
algorithm,Constant-Weights(Gamma-1:3;Gamma-2:3;Gamma-3:3),100,5,1,1,0.24,0.25,objective_value,True,200,27,rand_test_8,20230104:09:36:05,[642680675.5374999;642680675.5374999;642680675.5374999;642680675.5374999;642680675.5374999;642680675.5374999;642680675.5374999;642680675.5374999;642680675.5374999;642680675.5374999]
algorithm,Constant-Weights(Gamma-1:3;Gamma-2:3;Gamma-3:3),50,5,1,1,0.24,0.5,objective_value,True,200,28,rand_test_18,20230104:09:43:01,[1467305334.78125;1467305334.78125;1467305334.78125;1467305334.78125;1467305334.78125;1467305334.78125;1467305334.78125;1467305334.78125;1467305334.78125;1467305334.78125]
algorithm,Constant-Weights(Gamma-1:3;Gamma-2:3;Gamma-3:3),50,5,1,1,0.24,0.25,objective_value,True,200,28,rand_test_18,20230104:09:50:24,[1467305911.0749998;1467305911.0749998;1467305911.0749998;1467305911.0749998;1467305911.0749998;1467305911.0749998;1467305911.0749998;1467305911.0749998;1467305911.0749998;1467305911.0749998]
algorithm,Constant-Weights(Gamma-1:3;Gamma-2:3;Gamma-3:3),100,5,1,1,0.24,0.5,objective_value,True,200,28,rand_test_18,20230104:10:03:33,[1467303882.8562498;1467303882.8562498;1467303882.8562498;1467303882.8562498;1467303882.8562498;1467303882.8562498;1467303882.8562498;1467303882.8562498;1467303882.8562498;1467303882.8562498]
algorithm,Constant-Weights(Gamma-1:3;Gamma-2:3;Gamma-3:3),100,5,1,1,0.24,0.25,objective_value,True,200,28,rand_test_18,20230104:10:17:37,[1467303600.875;1467303600.875;1467303600.875;1467303600.875;1467303600.875;1467303600.875;1467303600.875;1467303600.875;1467303600.875;1467303600.875]
algorithm,Constant-Weights(Gamma-1:3;Gamma-2:3;Gamma-3:3),50,5,1,1,0.24,0.5,objective_value,True,200,29,rand_test_20,20230104:10:25:13,[769139347.1999999;769139347.1999999;769139347.1999999;769139347.1999999;769139347.1999999;769139347.1999999;769139347.1999999;769139347.1999999;769139347.1999999;769139347.1999999]
algorithm,Constant-Weights(Gamma-1:3;Gamma-2:3;Gamma-3:3),50,5,1,1,0.24,0.25,objective_value,True,200,29,rand_test_20,20230104:10:33:01,[769139753.50625;769139753.50625;769139753.50625;769139753.50625;769139753.50625;769139753.50625;769139753.50625;769139753.50625;769139753.50625;769139753.50625]
algorithm,Constant-Weights(Gamma-1:3;Gamma-2:3;Gamma-3:3),100,5,1,1,0.24,0.5,objective_value,True,200,29,rand_test_20,20230104:10:47:07,[769138772.725;769138772.725;769138772.725;769138772.725;769138772.725;769138772.725;769138772.725;769138772.725;769138772.725;769138772.725]
algorithm,Constant-Weights(Gamma-1:3;Gamma-2:3;Gamma-3:3),100,5,1,1,0.24,0.25,objective_value,True,200,29,rand_test_20,20230104:11:00:32,[769139813.5124999;769139813.5124999;769139813.5124999;769139813.5124999;769139813.5124999;769139813.5124999;769139813.5124999;769139813.5124999;769139813.5124999;769139813.5124999]
algorithm,Constant-Weights(Gamma-1:3;Gamma-2:3;Gamma-3:3),50,5,1,1,0.24,0.5,objective_value,True,200,30,rand_test_16,20230104:11:07:21,[3097377907.45;3097377907.45;3097377907.45;3097377907.45;3097377907.45;3097377907.45;3097377907.45;3097377907.45;3097377907.45;3097377907.45]
algorithm,Constant-Weights(Gamma-1:3;Gamma-2:3;Gamma-3:3),50,5,1,1,0.24,0.25,objective_value,True,200,30,rand_test_16,20230104:11:15:05,[3097377388.38125;3097377388.38125;3097377388.38125;3097377388.38125;3097377388.38125;3097377388.38125;3097377388.38125;3097377388.38125;3097377388.38125;3097377388.38125]
algorithm,Constant-Weights(Gamma-1:3;Gamma-2:3;Gamma-3:3),100,5,1,1,0.24,0.5,objective_value,True,200,30,rand_test_16,20230104:11:29:15,[3097378816.675;3097378816.675;3097378816.675;3097378816.675;3097378816.675;3097378816.675;3097378816.675;3097378816.675;3097378816.675;3097378816.675]
algorithm,Constant-Weights(Gamma-1:3;Gamma-2:3;Gamma-3:3),100,5,1,1,0.24,0.25,objective_value,True,200,30,rand_test_16,20230104:11:42:55,[3097378156.16875;3097378156.16875;3097378156.16875;3097378156.16875;3097378156.16875;3097378156.16875;3097378156.16875;3097378156.16875;3097378156.16875;3097378156.16875]
